210 MHz, 0 %, 57, 9.52 W
210 MHz, 0 %, 57, 8.70 W
210 MHz, 0 %, 57, 8.72 W
210 MHz, 0 %, 57, 9.10 W
1455 MHz, 2 %, 58, 14.11 W
1455 MHz, 4 %, 58, 30.81 W
315 MHz, 0 %, 58, 28.88 W
600 MHz, 22 %, 58, 22.58 W
360 MHz, 25 %, 58, 16.30 W
300 MHz, 34 %, 58, 16.51 W
255 MHz, 39 %, 59, 16.32 W
270 MHz, 47 %, 59, 16.67 W
1455 MHz, 8 %, 60, 36.45 W
465 MHz, 17 %, 59, 24.66 W
450 MHz, 30 %, 59, 23.81 W
390 MHz, 32 %, 59, 17.54 W
465 MHz, 30 %, 59, 23.38 W
480 MHz, 31 %, 59, 23.70 W
540 MHz, 28 %, 59, 24.61 W
660 MHz, 41 %, 59, 24.89 W
750 MHz, 43 %, 59, 25.00 W
1020 MHz, 21 %, 59, 33.60 W
675 MHz, 35 %, 59, 25.17 W
690 MHz, 45 %, 59, 25.01 W
960 MHz, 49 %, 59, 25.26 W
1125 MHz, 27 %, 59, 32.18 W
1215 MHz, 21 %, 59, 30.60 W
675 MHz, 33 %, 59, 29.00 W
1110 MHz, 46 %, 59, 26.18 W
765 MHz, 32 %, 59, 35.44 W
1080 MHz, 24 %, 59, 29.05 W
810 MHz, 35 %, 59, 31.83 W
945 MHz, 33 %, 60, 37.86 W
825 MHz, 48 %, 59, 29.23 W
1005 MHz, 19 %, 60, 36.76 W
1065 MHz, 26 %, 59, 29.85 W
900 MHz, 38 %, 59, 30.41 W
1215 MHz, 27 %, 60, 37.87 W
840 MHz, 40 %, 59, 29.91 W
1020 MHz, 26 %, 59, 32.76 W
855 MHz, 42 %, 59, 30.12 W
1155 MHz, 24 %, 60, 35.65 W
855 MHz, 37 %, 59, 30.18 W
1200 MHz, 32 %, 60, 30.82 W
945 MHz, 33 %, 59, 34.11 W
1125 MHz, 28 %, 60, 30.32 W
900 MHz, 39 %, 60, 33.70 W
1095 MHz, 34 %, 60, 30.30 W
930 MHz, 34 %, 60, 35.18 W
975 MHz, 38 %, 59, 29.84 W
1260 MHz, 29 %, 60, 34.23 W
1035 MHz, 29 %, 60, 30.43 W
870 MHz, 35 %, 60, 31.19 W
1080 MHz, 29 %, 60, 35.75 W
855 MHz, 28 %, 59, 29.52 W
1140 MHz, 28 %, 60, 33.63 W
855 MHz, 20 %, 59, 29.65 W
1095 MHz, 31 %, 60, 33.42 W
1185 MHz, 27 %, 60, 38.67 W
825 MHz, 38 %, 60, 30.67 W
1200 MHz, 25 %, 60, 31.72 W
930 MHz, 35 %, 60, 32.57 W
1095 MHz, 27 %, 60, 35.60 W
990 MHz, 35 %, 60, 40.40 W
1020 MHz, 31 %, 60, 38.98 W
765 MHz, 23 %, 60, 27.65 W
780 MHz, 13 %, 60, 35.74 W
915 MHz, 42 %, 60, 27.95 W
945 MHz, 31 %, 60, 38.10 W
840 MHz, 22 %, 60, 29.78 W
1065 MHz, 25 %, 60, 33.72 W
870 MHz, 34 %, 60, 30.74 W
1170 MHz, 23 %, 60, 31.82 W
855 MHz, 40 %, 60, 31.11 W
990 MHz, 17 %, 60, 28.36 W
765 MHz, 34 %, 60, 29.18 W
1185 MHz, 26 %, 60, 38.30 W
855 MHz, 40 %, 60, 29.48 W
1110 MHz, 23 %, 60, 31.58 W
840 MHz, 38 %, 60, 29.48 W
1215 MHz, 26 %, 60, 34.37 W
855 MHz, 24 %, 60, 29.63 W
1170 MHz, 32 %, 60, 34.42 W
870 MHz, 25 %, 60, 29.54 W
1200 MHz, 22 %, 60, 30.71 W
825 MHz, 40 %, 60, 32.13 W
1245 MHz, 27 %, 60, 34.74 W
1260 MHz, 25 %, 60, 32.50 W
885 MHz, 35 %, 60, 31.37 W
1140 MHz, 29 %, 60, 30.15 W
930 MHz, 31 %, 60, 34.15 W
1155 MHz, 24 %, 60, 33.84 W
945 MHz, 34 %, 60, 30.25 W
1035 MHz, 25 %, 60, 34.76 W
1170 MHz, 27 %, 60, 36.93 W
855 MHz, 43 %, 60, 30.28 W
975 MHz, 34 %, 60, 30.74 W
1035 MHz, 34 %, 60, 32.77 W
855 MHz, 34 %, 60, 30.08 W
1080 MHz, 31 %, 60, 31.34 W
915 MHz, 38 %, 60, 29.44 W
885 MHz, 38 %, 60, 29.87 W
1455 MHz, 25 %, 61, 40.85 W
945 MHz, 20 %, 60, 29.66 W
1200 MHz, 24 %, 60, 35.41 W
1005 MHz, 37 %, 60, 30.38 W
855 MHz, 30 %, 60, 32.20 W
1095 MHz, 31 %, 60, 34.13 W
1155 MHz, 36 %, 60, 31.71 W
960 MHz, 25 %, 60, 39.73 W
975 MHz, 29 %, 60, 26.76 W
795 MHz, 26 %, 60, 36.25 W
885 MHz, 21 %, 60, 26.38 W
1020 MHz, 27 %, 60, 29.68 W
885 MHz, 54 %, 60, 30.97 W
870 MHz, 33 %, 60, 38.43 W
1005 MHz, 34 %, 60, 30.10 W
810 MHz, 32 %, 60, 29.42 W
1035 MHz, 31 %, 60, 30.32 W
1110 MHz, 27 %, 60, 30.30 W
795 MHz, 36 %, 60, 33.26 W
1005 MHz, 44 %, 60, 29.86 W
840 MHz, 40 %, 60, 35.27 W
1155 MHz, 22 %, 60, 29.89 W
840 MHz, 31 %, 60, 33.82 W
1230 MHz, 24 %, 60, 34.10 W
885 MHz, 54 %, 60, 29.10 W
915 MHz, 25 %, 60, 37.21 W
825 MHz, 39 %, 60, 30.04 W
1125 MHz, 22 %, 60, 34.67 W
945 MHz, 30 %, 60, 30.03 W
1110 MHz, 26 %, 60, 33.06 W
825 MHz, 36 %, 60, 30.07 W
990 MHz, 28 %, 60, 35.08 W
870 MHz, 31 %, 60, 29.92 W
1080 MHz, 28 %, 60, 36.55 W
1005 MHz, 17 %, 60, 30.25 W
960 MHz, 39 %, 60, 35.20 W
1200 MHz, 31 %, 60, 35.05 W
975 MHz, 29 %, 60, 30.60 W
1095 MHz, 27 %, 60, 33.03 W
840 MHz, 42 %, 60, 30.66 W
1005 MHz, 30 %, 60, 38.89 W
1275 MHz, 27 %, 60, 30.95 W
915 MHz, 30 %, 60, 34.76 W
915 MHz, 28 %, 60, 29.98 W
855 MHz, 36 %, 60, 36.53 W
885 MHz, 35 %, 60, 30.34 W
1380 MHz, 26 %, 61, 40.50 W
885 MHz, 31 %, 60, 29.68 W
960 MHz, 45 %, 60, 27.84 W
1185 MHz, 29 %, 60, 30.95 W
900 MHz, 36 %, 60, 33.18 W
990 MHz, 30 %, 60, 32.43 W
870 MHz, 41 %, 60, 29.89 W
1050 MHz, 32 %, 60, 33.66 W
1065 MHz, 25 %, 60, 30.26 W
675 MHz, 36 %, 60, 32.22 W
1155 MHz, 24 %, 60, 28.45 W
1020 MHz, 29 %, 60, 34.97 W
855 MHz, 43 %, 60, 29.72 W
795 MHz, 27 %, 60, 35.83 W
1125 MHz, 32 %, 60, 30.18 W
795 MHz, 31 %, 60, 32.87 W
1065 MHz, 29 %, 60, 29.90 W
855 MHz, 28 %, 60, 35.15 W
930 MHz, 47 %, 60, 27.69 W
915 MHz, 31 %, 60, 36.77 W
1080 MHz, 21 %, 60, 29.27 W
870 MHz, 33 %, 60, 34.75 W
1185 MHz, 28 %, 60, 32.18 W
900 MHz, 40 %, 60, 29.91 W
1140 MHz, 32 %, 60, 37.52 W
1260 MHz, 29 %, 60, 29.95 W
945 MHz, 33 %, 60, 29.52 W
825 MHz, 54 %, 60, 29.68 W
885 MHz, 33 %, 60, 37.30 W
840 MHz, 38 %, 60, 29.56 W
1170 MHz, 29 %, 60, 38.06 W
825 MHz, 40 %, 60, 29.73 W
1050 MHz, 25 %, 60, 35.36 W
930 MHz, 59 %, 60, 30.09 W
