210 MHz, 0 %, 55, 8.49 W
210 MHz, 0 %, 55, 8.21 W
210 MHz, 0 %, 54, 8.20 W
210 MHz, 0 %, 54, 8.14 W
1455 MHz, 3 %, 55, 29.01 W
1455 MHz, 2 %, 56, 30.39 W
495 MHz, 21 %, 56, 24.18 W
360 MHz, 27 %, 56, 15.80 W
270 MHz, 23 %, 56, 15.45 W
210 MHz, 30 %, 56, 14.57 W
210 MHz, 28 %, 56, 14.32 W
1455 MHz, 9 %, 57, 31.11 W
555 MHz, 27 %, 56, 29.01 W
405 MHz, 38 %, 56, 24.47 W
375 MHz, 30 %, 56, 16.66 W
345 MHz, 37 %, 56, 16.46 W
480 MHz, 34 %, 56, 23.44 W
495 MHz, 35 %, 56, 23.94 W
555 MHz, 39 %, 57, 24.44 W
690 MHz, 40 %, 57, 23.98 W
1305 MHz, 19 %, 57, 27.63 W
690 MHz, 24 %, 57, 25.50 W
555 MHz, 51 %, 57, 23.87 W
615 MHz, 44 %, 57, 23.35 W
855 MHz, 34 %, 57, 25.05 W
915 MHz, 40 %, 57, 25.45 W
615 MHz, 19 %, 57, 34.80 W
660 MHz, 36 %, 57, 24.72 W
825 MHz, 35 %, 57, 25.38 W
915 MHz, 39 %, 57, 25.68 W
1110 MHz, 15 %, 57, 35.02 W
945 MHz, 31 %, 57, 26.00 W
1035 MHz, 25 %, 58, 35.45 W
780 MHz, 34 %, 57, 28.16 W
990 MHz, 26 %, 58, 34.45 W
660 MHz, 50 %, 58, 27.77 W
1005 MHz, 25 %, 58, 34.04 W
720 MHz, 54 %, 58, 27.82 W
690 MHz, 29 %, 58, 34.67 W
1095 MHz, 19 %, 58, 28.18 W
720 MHz, 27 %, 58, 30.88 W
795 MHz, 50 %, 58, 27.28 W
720 MHz, 25 %, 58, 35.05 W
1260 MHz, 20 %, 58, 32.28 W
765 MHz, 28 %, 58, 29.62 W
810 MHz, 38 %, 58, 28.58 W
750 MHz, 16 %, 58, 36.16 W
750 MHz, 33 %, 58, 29.00 W
705 MHz, 35 %, 58, 35.69 W
1020 MHz, 34 %, 58, 28.54 W
780 MHz, 28 %, 58, 31.90 W
1125 MHz, 28 %, 58, 30.06 W
735 MHz, 38 %, 58, 30.71 W
1110 MHz, 20 %, 58, 29.70 W
1005 MHz, 29 %, 58, 28.08 W
750 MHz, 36 %, 59, 35.19 W
915 MHz, 66 %, 58, 28.15 W
825 MHz, 25 %, 59, 37.07 W
795 MHz, 30 %, 58, 26.48 W
1125 MHz, 27 %, 59, 27.83 W
750 MHz, 16 %, 59, 33.45 W
750 MHz, 43 %, 59, 29.06 W
1215 MHz, 20 %, 59, 29.77 W
780 MHz, 25 %, 59, 32.50 W
660 MHz, 44 %, 59, 26.81 W
555 MHz, 44 %, 58, 24.11 W
1140 MHz, 22 %, 59, 30.99 W
825 MHz, 31 %, 59, 27.82 W
660 MHz, 40 %, 59, 28.08 W
1050 MHz, 22 %, 59, 31.01 W
705 MHz, 37 %, 59, 28.64 W
1110 MHz, 16 %, 59, 30.62 W
675 MHz, 32 %, 59, 28.71 W
990 MHz, 39 %, 59, 27.57 W
675 MHz, 32 %, 59, 34.01 W
900 MHz, 36 %, 59, 26.38 W
1080 MHz, 17 %, 59, 35.83 W
690 MHz, 36 %, 59, 28.52 W
1020 MHz, 20 %, 59, 28.22 W
720 MHz, 24 %, 59, 33.70 W
1050 MHz, 26 %, 59, 29.71 W
1005 MHz, 24 %, 59, 28.62 W
735 MHz, 30 %, 59, 34.49 W
870 MHz, 56 %, 59, 27.90 W
750 MHz, 22 %, 59, 30.62 W
1080 MHz, 13 %, 60, 36.68 W
690 MHz, 43 %, 59, 28.94 W
1140 MHz, 24 %, 60, 36.18 W
1005 MHz, 22 %, 60, 29.82 W
735 MHz, 27 %, 60, 32.20 W
900 MHz, 54 %, 59, 28.45 W
810 MHz, 30 %, 60, 37.22 W
1125 MHz, 27 %, 60, 29.64 W
765 MHz, 28 %, 60, 32.41 W
1035 MHz, 25 %, 60, 30.72 W
780 MHz, 31 %, 60, 33.58 W
1095 MHz, 26 %, 60, 30.20 W
780 MHz, 28 %, 60, 28.94 W
705 MHz, 35 %, 60, 29.04 W
990 MHz, 22 %, 60, 30.37 W
1155 MHz, 22 %, 60, 29.39 W
735 MHz, 31 %, 60, 30.28 W
1035 MHz, 39 %, 60, 28.12 W
795 MHz, 38 %, 60, 33.11 W
660 MHz, 24 %, 60, 27.77 W
975 MHz, 51 %, 60, 26.91 W
720 MHz, 27 %, 60, 36.67 W
750 MHz, 41 %, 60, 29.37 W
1035 MHz, 24 %, 60, 27.97 W
750 MHz, 42 %, 60, 30.63 W
1245 MHz, 14 %, 60, 34.17 W
765 MHz, 43 %, 60, 25.87 W
990 MHz, 18 %, 60, 33.76 W
645 MHz, 31 %, 60, 26.25 W
735 MHz, 34 %, 60, 35.45 W
630 MHz, 21 %, 60, 28.37 W
1125 MHz, 22 %, 60, 32.94 W
660 MHz, 33 %, 60, 28.24 W
1020 MHz, 27 %, 60, 30.39 W
1005 MHz, 22 %, 60, 28.06 W
795 MHz, 45 %, 60, 32.43 W
1095 MHz, 20 %, 60, 31.72 W
660 MHz, 34 %, 60, 28.41 W
1155 MHz, 16 %, 60, 28.10 W
720 MHz, 38 %, 60, 34.23 W
930 MHz, 54 %, 60, 28.62 W
1050 MHz, 25 %, 61, 33.85 W
870 MHz, 48 %, 60, 26.96 W
750 MHz, 33 %, 61, 36.07 W
720 MHz, 46 %, 60, 28.54 W
1065 MHz, 22 %, 61, 32.81 W
1050 MHz, 28 %, 61, 36.48 W
1035 MHz, 21 %, 60, 29.13 W
720 MHz, 28 %, 60, 34.61 W
660 MHz, 45 %, 60, 28.86 W
1140 MHz, 21 %, 61, 32.55 W
720 MHz, 39 %, 60, 29.14 W
1005 MHz, 28 %, 61, 38.19 W
990 MHz, 32 %, 60, 29.33 W
735 MHz, 32 %, 60, 31.50 W
750 MHz, 30 %, 60, 28.92 W
825 MHz, 32 %, 61, 36.71 W
735 MHz, 31 %, 60, 29.23 W
990 MHz, 29 %, 61, 30.29 W
675 MHz, 41 %, 60, 30.03 W
990 MHz, 18 %, 61, 31.86 W
705 MHz, 31 %, 60, 29.08 W
855 MHz, 59 %, 60, 29.27 W
825 MHz, 30 %, 61, 34.24 W
705 MHz, 39 %, 60, 28.43 W
1020 MHz, 29 %, 60, 27.79 W
1005 MHz, 28 %, 60, 27.49 W
660 MHz, 30 %, 60, 30.14 W
1335 MHz, 16 %, 61, 35.04 W
735 MHz, 30 %, 60, 29.64 W
990 MHz, 19 %, 61, 29.89 W
660 MHz, 24 %, 60, 31.53 W
705 MHz, 29 %, 60, 25.70 W
1050 MHz, 16 %, 60, 27.41 W
645 MHz, 37 %, 60, 32.12 W
1140 MHz, 28 %, 60, 28.34 W
750 MHz, 27 %, 60, 33.86 W
840 MHz, 39 %, 60, 28.22 W
1080 MHz, 15 %, 61, 33.68 W
1005 MHz, 51 %, 60, 27.81 W
705 MHz, 33 %, 60, 31.78 W
870 MHz, 40 %, 60, 26.40 W
1005 MHz, 21 %, 61, 33.20 W
900 MHz, 48 %, 60, 27.72 W
1125 MHz, 20 %, 61, 35.94 W
885 MHz, 52 %, 60, 28.10 W
735 MHz, 41 %, 60, 33.40 W
765 MHz, 29 %, 61, 36.77 W
660 MHz, 29 %, 60, 28.75 W
915 MHz, 51 %, 60, 28.37 W
765 MHz, 17 %, 60, 36.44 W
690 MHz, 37 %, 60, 28.89 W
705 MHz, 22 %, 61, 33.20 W
1005 MHz, 22 %, 61, 36.77 W
825 MHz, 28 %, 60, 28.79 W
1065 MHz, 24 %, 61, 35.31 W
1035 MHz, 29 %, 61, 28.92 W
735 MHz, 28 %, 61, 32.04 W
1110 MHz, 27 %, 61, 32.15 W
765 MHz, 31 %, 61, 29.46 W
1275 MHz, 20 %, 61, 31.76 W
765 MHz, 28 %, 60, 31.14 W
1020 MHz, 31 %, 61, 29.08 W
780 MHz, 30 %, 61, 34.61 W
1125 MHz, 27 %, 61, 29.56 W
735 MHz, 29 %, 61, 33.57 W
1050 MHz, 28 %, 61, 28.67 W
735 MHz, 34 %, 61, 32.69 W
1125 MHz, 21 %, 61, 37.34 W
705 MHz, 37 %, 61, 28.95 W
1170 MHz, 16 %, 61, 29.07 W
660 MHz, 49 %, 60, 28.25 W
1155 MHz, 23 %, 61, 28.89 W
825 MHz, 30 %, 61, 33.42 W
1170 MHz, 21 %, 61, 31.77 W
720 MHz, 40 %, 61, 29.56 W
1200 MHz, 20 %, 61, 32.34 W
675 MHz, 28 %, 60, 27.38 W
750 MHz, 25 %, 60, 25.44 W
1020 MHz, 11 %, 61, 34.26 W
765 MHz, 47 %, 60, 26.91 W
1080 MHz, 25 %, 61, 36.08 W
1080 MHz, 16 %, 61, 29.11 W
720 MHz, 26 %, 61, 31.96 W
1035 MHz, 26 %, 61, 29.28 W
690 MHz, 26 %, 60, 29.50 W
1020 MHz, 31 %, 61, 27.93 W
1020 MHz, 23 %, 61, 28.62 W
795 MHz, 43 %, 60, 32.30 W
1065 MHz, 23 %, 61, 33.53 W
1005 MHz, 25 %, 61, 28.50 W
810 MHz, 39 %, 60, 28.43 W
720 MHz, 23 %, 61, 36.53 W
990 MHz, 26 %, 61, 28.58 W
690 MHz, 35 %, 61, 31.67 W
1170 MHz, 21 %, 61, 33.50 W
735 MHz, 34 %, 61, 28.79 W
990 MHz, 22 %, 61, 29.74 W
645 MHz, 24 %, 60, 30.01 W
1050 MHz, 22 %, 61, 33.07 W
705 MHz, 28 %, 61, 28.66 W
1080 MHz, 20 %, 61, 32.63 W
690 MHz, 40 %, 61, 28.81 W
990 MHz, 18 %, 61, 29.00 W
1290 MHz, 18 %, 61, 29.75 W
825 MHz, 30 %, 61, 35.29 W
750 MHz, 37 %, 61, 29.49 W
1095 MHz, 23 %, 61, 34.70 W
810 MHz, 25 %, 60, 28.90 W
1245 MHz, 26 %, 61, 38.28 W
765 MHz, 28 %, 61, 28.95 W
1005 MHz, 27 %, 61, 29.48 W
735 MHz, 35 %, 61, 33.36 W
1215 MHz, 23 %, 61, 29.46 W
780 MHz, 36 %, 61, 35.15 W
1065 MHz, 38 %, 61, 28.83 W
765 MHz, 34 %, 61, 35.83 W
1035 MHz, 23 %, 61, 28.57 W
930 MHz, 47 %, 61, 28.75 W
765 MHz, 32 %, 61, 36.64 W
990 MHz, 34 %, 61, 27.87 W
765 MHz, 32 %, 61, 32.69 W
1050 MHz, 24 %, 61, 31.22 W
1005 MHz, 38 %, 61, 28.63 W
615 MHz, 31 %, 61, 33.67 W
945 MHz, 54 %, 61, 26.47 W
675 MHz, 32 %, 61, 35.05 W
1110 MHz, 25 %, 61, 29.06 W
735 MHz, 30 %, 61, 29.01 W
990 MHz, 16 %, 61, 34.34 W
1155 MHz, 22 %, 61, 29.03 W
1005 MHz, 26 %, 61, 30.32 W
750 MHz, 33 %, 61, 34.06 W
720 MHz, 36 %, 61, 28.21 W
1050 MHz, 20 %, 61, 30.50 W
660 MHz, 30 %, 61, 29.45 W
1035 MHz, 19 %, 61, 29.65 W
660 MHz, 29 %, 61, 30.14 W
990 MHz, 27 %, 61, 31.44 W
720 MHz, 30 %, 61, 29.24 W
1050 MHz, 21 %, 61, 33.23 W
1005 MHz, 19 %, 61, 30.49 W
750 MHz, 35 %, 61, 33.87 W
885 MHz, 53 %, 61, 28.50 W
750 MHz, 35 %, 61, 35.47 W
840 MHz, 33 %, 61, 27.10 W
1050 MHz, 26 %, 61, 36.98 W
990 MHz, 27 %, 61, 28.36 W
750 MHz, 33 %, 61, 32.64 W
1035 MHz, 29 %, 61, 32.55 W
735 MHz, 35 %, 61, 29.19 W
750 MHz, 21 %, 61, 36.81 W
735 MHz, 29 %, 61, 29.20 W
1020 MHz, 30 %, 61, 32.80 W
720 MHz, 30 %, 61, 29.01 W
1005 MHz, 24 %, 61, 29.30 W
780 MHz, 29 %, 61, 29.38 W
1230 MHz, 20 %, 61, 33.04 W
765 MHz, 33 %, 61, 28.89 W
1230 MHz, 22 %, 61, 31.36 W
765 MHz, 30 %, 61, 31.11 W
1050 MHz, 28 %, 61, 29.89 W
750 MHz, 31 %, 61, 31.68 W
1065 MHz, 27 %, 61, 29.25 W
705 MHz, 24 %, 61, 33.20 W
