210 MHz, 0 %, 55, 8.23 W
210 MHz, 0 %, 55, 8.98 W
210 MHz, 0 %, 55, 8.24 W
210 MHz, 0 %, 55, 8.21 W
210 MHz, 0 %, 55, 8.18 W
1455 MHz, 1 %, 56, 29.40 W
1455 MHz, 0 %, 56, 29.73 W
1455 MHz, 4 %, 56, 29.70 W
420 MHz, 14 %, 56, 25.58 W
270 MHz, 24 %, 56, 21.90 W
210 MHz, 33 %, 56, 15.18 W
225 MHz, 40 %, 56, 15.56 W
255 MHz, 38 %, 56, 16.35 W
300 MHz, 46 %, 56, 16.51 W
420 MHz, 25 %, 57, 22.76 W
345 MHz, 45 %, 57, 16.80 W
480 MHz, 21 %, 57, 22.61 W
390 MHz, 53 %, 57, 17.10 W
525 MHz, 39 %, 57, 24.30 W
600 MHz, 27 %, 57, 24.12 W
690 MHz, 38 %, 57, 24.77 W
945 MHz, 40 %, 57, 25.68 W
885 MHz, 47 %, 57, 25.63 W
870 MHz, 24 %, 57, 24.20 W
765 MHz, 37 %, 57, 25.17 W
690 MHz, 46 %, 57, 24.54 W
840 MHz, 34 %, 57, 25.47 W
915 MHz, 41 %, 57, 26.36 W
570 MHz, 38 %, 57, 33.13 W
780 MHz, 27 %, 57, 25.23 W
1005 MHz, 24 %, 58, 30.21 W
900 MHz, 19 %, 58, 29.18 W
705 MHz, 33 %, 58, 28.08 W
1095 MHz, 28 %, 58, 28.03 W
750 MHz, 20 %, 58, 32.47 W
975 MHz, 28 %, 58, 28.85 W
735 MHz, 30 %, 58, 34.11 W
975 MHz, 26 %, 58, 29.46 W
750 MHz, 34 %, 58, 31.98 W
960 MHz, 51 %, 58, 27.83 W
765 MHz, 31 %, 58, 36.53 W
975 MHz, 24 %, 58, 36.71 W
735 MHz, 29 %, 58, 28.22 W
1035 MHz, 30 %, 58, 29.06 W
750 MHz, 29 %, 58, 33.23 W
945 MHz, 51 %, 58, 28.15 W
765 MHz, 26 %, 59, 36.12 W
1065 MHz, 25 %, 58, 29.47 W
765 MHz, 37 %, 59, 32.21 W
990 MHz, 30 %, 59, 29.46 W
870 MHz, 43 %, 59, 30.65 W
900 MHz, 40 %, 59, 29.81 W
885 MHz, 37 %, 59, 30.32 W
1140 MHz, 25 %, 60, 32.26 W
810 MHz, 32 %, 60, 32.35 W
840 MHz, 34 %, 60, 30.06 W
1305 MHz, 68 %, 60, 30.41 W
930 MHz, 33 %, 60, 35.34 W
840 MHz, 31 %, 61, 30.07 W
810 MHz, 36 %, 61, 30.35 W
915 MHz, 40 %, 61, 30.53 W
960 MHz, 38 %, 61, 31.27 W
840 MHz, 32 %, 61, 29.47 W
1125 MHz, 26 %, 62, 34.97 W
810 MHz, 38 %, 62, 29.69 W
1230 MHz, 39 %, 62, 30.51 W
975 MHz, 35 %, 62, 35.27 W
810 MHz, 26 %, 62, 29.34 W
1110 MHz, 30 %, 63, 30.12 W
810 MHz, 35 %, 63, 29.66 W
780 MHz, 36 %, 63, 29.92 W
1410 MHz, 23 %, 64, 39.99 W
840 MHz, 36 %, 63, 30.09 W
885 MHz, 31 %, 63, 30.61 W
1260 MHz, 21 %, 64, 38.81 W
780 MHz, 31 %, 63, 29.50 W
1035 MHz, 25 %, 63, 30.70 W
720 MHz, 35 %, 63, 33.49 W
1050 MHz, 42 %, 63, 29.55 W
750 MHz, 25 %, 63, 36.08 W
1065 MHz, 27 %, 63, 30.21 W
750 MHz, 26 %, 63, 33.03 W
1170 MHz, 24 %, 63, 28.57 W
840 MHz, 32 %, 62, 30.89 W
735 MHz, 29 %, 62, 29.63 W
1155 MHz, 25 %, 62, 34.59 W
765 MHz, 27 %, 62, 29.76 W
1125 MHz, 30 %, 62, 35.50 W
735 MHz, 31 %, 62, 29.54 W
1410 MHz, 15 %, 62, 30.72 W
945 MHz, 32 %, 62, 35.45 W
765 MHz, 33 %, 62, 29.61 W
1020 MHz, 21 %, 62, 36.92 W
750 MHz, 35 %, 62, 29.78 W
1185 MHz, 26 %, 62, 30.22 W
765 MHz, 35 %, 62, 33.07 W
1050 MHz, 29 %, 62, 30.05 W
765 MHz, 25 %, 61, 29.67 W
1020 MHz, 13 %, 61, 28.31 W
675 MHz, 33 %, 62, 33.01 W
1065 MHz, 24 %, 61, 29.37 W
780 MHz, 34 %, 61, 33.50 W
1215 MHz, 27 %, 61, 29.14 W
810 MHz, 35 %, 61, 34.66 W
690 MHz, 42 %, 61, 26.63 W
630 MHz, 16 %, 61, 24.74 W
1230 MHz, 13 %, 61, 35.39 W
930 MHz, 30 %, 61, 30.89 W
1050 MHz, 27 %, 61, 31.86 W
1170 MHz, 21 %, 61, 37.38 W
945 MHz, 25 %, 61, 29.24 W
1155 MHz, 24 %, 61, 32.21 W
720 MHz, 30 %, 61, 28.91 W
1065 MHz, 26 %, 61, 34.85 W
735 MHz, 30 %, 61, 28.31 W
1125 MHz, 14 %, 61, 28.79 W
720 MHz, 27 %, 61, 30.86 W
1110 MHz, 26 %, 61, 31.87 W
720 MHz, 25 %, 61, 30.10 W
1125 MHz, 22 %, 61, 30.98 W
1065 MHz, 28 %, 61, 29.48 W
720 MHz, 27 %, 61, 32.95 W
1050 MHz, 20 %, 61, 34.50 W
720 MHz, 28 %, 61, 29.27 W
1050 MHz, 24 %, 61, 33.51 W
690 MHz, 47 %, 61, 28.67 W
1110 MHz, 17 %, 61, 34.29 W
780 MHz, 46 %, 61, 28.70 W
1140 MHz, 25 %, 61, 29.29 W
1200 MHz, 17 %, 61, 29.26 W
765 MHz, 29 %, 61, 33.91 W
1095 MHz, 35 %, 61, 29.00 W
810 MHz, 29 %, 61, 35.55 W
1005 MHz, 34 %, 60, 29.28 W
720 MHz, 32 %, 60, 30.82 W
720 MHz, 33 %, 60, 29.08 W
810 MHz, 28 %, 61, 37.47 W
720 MHz, 32 %, 60, 29.18 W
1035 MHz, 21 %, 60, 28.64 W
780 MHz, 38 %, 60, 33.79 W
1155 MHz, 17 %, 60, 30.25 W
765 MHz, 29 %, 60, 31.36 W
1095 MHz, 21 %, 60, 30.41 W
765 MHz, 26 %, 60, 30.85 W
660 MHz, 33 %, 60, 28.20 W
1065 MHz, 26 %, 60, 27.42 W
735 MHz, 32 %, 60, 35.33 W
810 MHz, 30 %, 60, 29.69 W
1095 MHz, 31 %, 61, 35.02 W
840 MHz, 32 %, 60, 29.85 W
690 MHz, 47 %, 60, 26.92 W
945 MHz, 47 %, 60, 25.80 W
1050 MHz, 15 %, 60, 33.21 W
765 MHz, 32 %, 60, 27.75 W
915 MHz, 48 %, 60, 28.52 W
780 MHz, 16 %, 60, 36.86 W
975 MHz, 29 %, 60, 28.53 W
1050 MHz, 29 %, 60, 33.32 W
1065 MHz, 19 %, 60, 28.18 W
720 MHz, 32 %, 60, 34.38 W
1065 MHz, 17 %, 60, 28.77 W
705 MHz, 41 %, 60, 32.10 W
780 MHz, 36 %, 60, 27.96 W
1080 MHz, 25 %, 60, 35.16 W
1215 MHz, 27 %, 60, 28.79 W
795 MHz, 31 %, 60, 35.59 W
705 MHz, 40 %, 60, 29.29 W
1050 MHz, 16 %, 60, 29.20 W
765 MHz, 31 %, 60, 32.53 W
1080 MHz, 27 %, 60, 29.50 W
750 MHz, 20 %, 60, 28.92 W
1050 MHz, 27 %, 60, 28.99 W
750 MHz, 32 %, 60, 32.09 W
765 MHz, 28 %, 60, 34.68 W
810 MHz, 16 %, 60, 28.81 W
1035 MHz, 33 %, 60, 33.73 W
780 MHz, 45 %, 60, 28.65 W
780 MHz, 31 %, 60, 37.01 W
1005 MHz, 29 %, 60, 29.67 W
750 MHz, 32 %, 60, 33.31 W
705 MHz, 34 %, 60, 28.91 W
1020 MHz, 26 %, 60, 35.38 W
780 MHz, 37 %, 60, 29.83 W
1095 MHz, 28 %, 60, 29.53 W
750 MHz, 25 %, 60, 32.14 W
1080 MHz, 22 %, 60, 33.43 W
840 MHz, 42 %, 60, 28.09 W
1275 MHz, 21 %, 60, 38.31 W
1185 MHz, 23 %, 60, 28.92 W
750 MHz, 33 %, 60, 33.92 W
975 MHz, 21 %, 60, 26.29 W
1095 MHz, 24 %, 60, 36.58 W
765 MHz, 47 %, 60, 28.91 W
810 MHz, 32 %, 60, 36.63 W
915 MHz, 43 %, 60, 27.31 W
795 MHz, 31 %, 60, 36.35 W
720 MHz, 28 %, 60, 27.74 W
585 MHz, 25 %, 60, 24.64 W
855 MHz, 27 %, 60, 25.65 W
990 MHz, 35 %, 60, 26.57 W
1050 MHz, 22 %, 60, 34.78 W
1065 MHz, 25 %, 60, 30.34 W
735 MHz, 29 %, 60, 32.91 W
1080 MHz, 41 %, 60, 27.91 W
825 MHz, 51 %, 60, 28.59 W
1005 MHz, 28 %, 60, 28.62 W
960 MHz, 26 %, 60, 28.53 W
915 MHz, 31 %, 59, 26.46 W
1110 MHz, 19 %, 60, 35.98 W
1215 MHz, 17 %, 60, 36.80 W
705 MHz, 29 %, 60, 28.47 W
1005 MHz, 43 %, 60, 29.00 W
720 MHz, 24 %, 60, 35.61 W
1020 MHz, 20 %, 60, 33.62 W
720 MHz, 42 %, 60, 28.75 W
1125 MHz, 24 %, 60, 29.77 W
735 MHz, 35 %, 60, 31.40 W
1035 MHz, 20 %, 60, 32.21 W
990 MHz, 44 %, 60, 28.36 W
1125 MHz, 25 %, 60, 36.92 W
765 MHz, 28 %, 60, 28.96 W
1065 MHz, 22 %, 60, 36.16 W
690 MHz, 34 %, 60, 28.93 W
1020 MHz, 31 %, 60, 32.22 W
1185 MHz, 19 %, 60, 37.66 W
750 MHz, 26 %, 60, 29.20 W
750 MHz, 43 %, 60, 28.48 W
1110 MHz, 23 %, 60, 36.77 W
1080 MHz, 26 %, 60, 30.77 W
810 MHz, 35 %, 60, 31.69 W
735 MHz, 27 %, 60, 29.15 W
1155 MHz, 23 %, 60, 32.65 W
1005 MHz, 30 %, 60, 30.93 W
705 MHz, 35 %, 60, 29.88 W
960 MHz, 48 %, 60, 29.14 W
1080 MHz, 26 %, 60, 35.75 W
720 MHz, 25 %, 60, 28.17 W
975 MHz, 31 %, 59, 26.08 W
1020 MHz, 24 %, 60, 37.05 W
990 MHz, 43 %, 60, 27.24 W
795 MHz, 23 %, 60, 36.97 W
1125 MHz, 31 %, 60, 27.95 W
795 MHz, 32 %, 60, 35.79 W
675 MHz, 22 %, 59, 27.36 W
675 MHz, 40 %, 59, 24.71 W
1110 MHz, 12 %, 60, 27.98 W
990 MHz, 32 %, 59, 30.40 W
1125 MHz, 17 %, 60, 29.79 W
990 MHz, 27 %, 60, 28.99 W
885 MHz, 32 %, 59, 27.80 W
735 MHz, 21 %, 60, 36.28 W
735 MHz, 27 %, 59, 28.53 W
1035 MHz, 24 %, 60, 34.14 W
1095 MHz, 23 %, 60, 30.82 W
705 MHz, 34 %, 60, 32.39 W
1080 MHz, 20 %, 60, 27.60 W
915 MHz, 28 %, 60, 33.76 W
765 MHz, 32 %, 60, 28.59 W
1080 MHz, 28 %, 60, 29.81 W
765 MHz, 31 %, 60, 33.22 W
885 MHz, 42 %, 60, 28.25 W
1005 MHz, 25 %, 60, 37.36 W
750 MHz, 32 %, 60, 29.13 W
1050 MHz, 26 %, 60, 36.77 W
1125 MHz, 21 %, 60, 28.76 W
765 MHz, 42 %, 60, 34.32 W
1215 MHz, 22 %, 60, 29.61 W
780 MHz, 29 %, 60, 33.28 W
1095 MHz, 22 %, 60, 31.97 W
