210 MHz, 0 %, 55, 8.23 W
210 MHz, 0 %, 55, 8.59 W
210 MHz, 0 %, 55, 8.29 W
210 MHz, 0 %, 55, 8.22 W
210 MHz, 0 %, 55, 8.27 W
210 MHz, 0 %, 55, 9.03 W
1455 MHz, 0 %, 56, 28.60 W
1455 MHz, 2 %, 56, 31.68 W
1455 MHz, 10 %, 56, 25.89 W
510 MHz, 16 %, 56, 27.75 W
330 MHz, 32 %, 56, 16.33 W
270 MHz, 39 %, 56, 15.86 W
255 MHz, 23 %, 56, 16.15 W
285 MHz, 39 %, 56, 16.44 W
360 MHz, 49 %, 56, 17.01 W
360 MHz, 33 %, 56, 17.69 W
420 MHz, 37 %, 56, 22.91 W
360 MHz, 30 %, 56, 23.10 W
405 MHz, 47 %, 56, 17.39 W
450 MHz, 40 %, 57, 24.04 W
495 MHz, 33 %, 57, 24.09 W
660 MHz, 18 %, 57, 23.76 W
885 MHz, 20 %, 57, 25.30 W
1050 MHz, 13 %, 57, 27.87 W
585 MHz, 23 %, 57, 28.80 W
570 MHz, 37 %, 57, 23.89 W
930 MHz, 33 %, 57, 25.69 W
1035 MHz, 29 %, 57, 30.17 W
600 MHz, 28 %, 57, 27.27 W
705 MHz, 37 %, 57, 25.27 W
945 MHz, 44 %, 57, 26.16 W
975 MHz, 32 %, 58, 31.52 W
645 MHz, 33 %, 57, 28.31 W
1005 MHz, 27 %, 57, 27.38 W
750 MHz, 27 %, 57, 33.46 W
990 MHz, 26 %, 58, 32.47 W
720 MHz, 43 %, 57, 28.25 W
1155 MHz, 21 %, 58, 28.30 W
765 MHz, 28 %, 58, 33.32 W
735 MHz, 31 %, 58, 28.55 W
1140 MHz, 16 %, 58, 34.11 W
720 MHz, 35 %, 58, 28.69 W
1230 MHz, 18 %, 58, 35.32 W
1035 MHz, 27 %, 58, 32.24 W
720 MHz, 31 %, 58, 30.77 W
1020 MHz, 24 %, 58, 28.89 W
750 MHz, 40 %, 58, 32.79 W
1020 MHz, 28 %, 58, 28.85 W
735 MHz, 36 %, 58, 33.95 W
870 MHz, 40 %, 58, 27.88 W
810 MHz, 25 %, 59, 33.91 W
810 MHz, 24 %, 59, 37.54 W
750 MHz, 34 %, 58, 28.90 W
975 MHz, 24 %, 58, 28.68 W
735 MHz, 31 %, 58, 34.04 W
990 MHz, 33 %, 58, 28.76 W
765 MHz, 33 %, 58, 29.21 W
1080 MHz, 24 %, 59, 32.66 W
735 MHz, 36 %, 58, 28.97 W
1080 MHz, 19 %, 58, 27.85 W
720 MHz, 37 %, 58, 29.68 W
735 MHz, 36 %, 58, 28.47 W
1065 MHz, 29 %, 59, 29.65 W
705 MHz, 36 %, 59, 28.51 W
1185 MHz, 19 %, 59, 36.90 W
750 MHz, 32 %, 59, 28.91 W
690 MHz, 40 %, 58, 24.38 W
1110 MHz, 23 %, 59, 26.67 W
645 MHz, 41 %, 59, 32.49 W
1065 MHz, 27 %, 59, 29.48 W
735 MHz, 37 %, 59, 30.56 W
1125 MHz, 17 %, 59, 27.00 W
720 MHz, 28 %, 59, 32.41 W
1170 MHz, 26 %, 59, 27.94 W
765 MHz, 24 %, 59, 32.93 W
1065 MHz, 23 %, 59, 36.33 W
705 MHz, 30 %, 59, 27.95 W
1155 MHz, 19 %, 59, 31.09 W
705 MHz, 32 %, 59, 28.25 W
960 MHz, 49 %, 59, 26.64 W
840 MHz, 23 %, 59, 37.70 W
930 MHz, 53 %, 59, 28.09 W
765 MHz, 32 %, 59, 32.40 W
1170 MHz, 24 %, 59, 29.97 W
735 MHz, 38 %, 59, 31.13 W
1020 MHz, 28 %, 59, 28.38 W
705 MHz, 35 %, 59, 32.14 W
1020 MHz, 32 %, 59, 28.55 W
735 MHz, 28 %, 59, 28.80 W
1230 MHz, 23 %, 60, 32.92 W
735 MHz, 43 %, 59, 28.20 W
750 MHz, 23 %, 60, 36.89 W
765 MHz, 30 %, 59, 29.09 W
1140 MHz, 23 %, 60, 36.28 W
735 MHz, 35 %, 59, 29.11 W
1155 MHz, 22 %, 60, 29.67 W
780 MHz, 27 %, 59, 32.51 W
765 MHz, 50 %, 59, 29.71 W
825 MHz, 24 %, 60, 36.55 W
720 MHz, 33 %, 60, 28.86 W
1080 MHz, 24 %, 60, 31.74 W
750 MHz, 41 %, 60, 29.70 W
1110 MHz, 29 %, 60, 30.85 W
750 MHz, 29 %, 60, 29.27 W
1095 MHz, 24 %, 60, 31.08 W
720 MHz, 31 %, 60, 29.58 W
660 MHz, 54 %, 59, 26.86 W
1035 MHz, 25 %, 60, 36.78 W
765 MHz, 49 %, 60, 27.75 W
720 MHz, 24 %, 60, 34.11 W
765 MHz, 33 %, 60, 30.09 W
990 MHz, 12 %, 60, 29.42 W
585 MHz, 37 %, 59, 25.37 W
900 MHz, 43 %, 60, 26.14 W
1005 MHz, 23 %, 60, 26.56 W
765 MHz, 32 %, 60, 35.33 W
1155 MHz, 27 %, 60, 32.43 W
1110 MHz, 36 %, 60, 37.90 W
735 MHz, 31 %, 60, 28.78 W
795 MHz, 47 %, 60, 28.42 W
990 MHz, 30 %, 60, 36.28 W
