2026/08/02 01:01:34.420, 1455 MHz, 1 %, 28.26 W, 54, Not Active, Active, Not Active, Active
2026/08/02 01:01:37.425, 300 MHz, 0 %, 24.54 W, 54, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:40.426, 255 MHz, 19 %, 14.11 W, 54, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:43.426, 210 MHz, 28 %, 14.48 W, 54, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:46.427, 330 MHz, 27 %, 14.12 W, 54, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:49.427, 210 MHz, 28 %, 12.99 W, 54, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:52.427, 210 MHz, 28 %, 12.95 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:55.428, 345 MHz, 21 %, 14.79 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:01:58.428, 255 MHz, 38 %, 14.53 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:01.429, 405 MHz, 32 %, 15.55 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:04.430, 405 MHz, 29 %, 15.32 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:07.430, 330 MHz, 21 %, 16.05 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:10.431, 330 MHz, 36 %, 15.69 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:13.431, 420 MHz, 33 %, 22.61 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:16.432, 585 MHz, 36 %, 23.65 W, 55, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:19.432, 705 MHz, 39 %, 24.24 W, 56, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:22.433, 885 MHz, 38 %, 24.43 W, 56, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:25.433, 1065 MHz, 28 %, 30.71 W, 56, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:28.433, 885 MHz, 44 %, 25.86 W, 56, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:31.434, 825 MHz, 37 %, 23.59 W, 56, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:34.434, 1005 MHz, 34 %, 27.67 W, 57, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:37.434, 1185 MHz, 25 %, 37.43 W, 57, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:40.435, 960 MHz, 19 %, 24.13 W, 57, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:43.435, 1185 MHz, 44 %, 37.17 W, 57, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:46.435, 1410 MHz, 46 %, 40.10 W, 58, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:49.436, 1395 MHz, 18 %, 39.40 W, 58, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:52.436, 1560 MHz, 19 %, 42.81 W, 58, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:55.437, 1635 MHz, 19 %, 44.56 W, 59, Active, Not Active, Not Active, Not Active
2026/08/02 01:02:58.437, 1380 MHz, 16 %, 40.79 W, 59, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:01.438, 1755 MHz, 31 %, 47.00 W, 59, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:04.438, 1680 MHz, 41 %, 45.41 W, 59, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:07.438, 1605 MHz, 46 %, 43.17 W, 59, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:10.439, 2175 MHz, 24 %, 52.04 W, 61, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:13.439, 1875 MHz, 32 %, 47.46 W, 60, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:16.440, 2265 MHz, 26 %, 52.93 W, 61, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:19.440, 1830 MHz, 32 %, 49.94 W, 61, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:22.441, 2265 MHz, 28 %, 60.26 W, 62, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:25.441, 2265 MHz, 25 %, 59.59 W, 62, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:28.441, 2160 MHz, 29 %, 56.14 W, 62, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:31.442, 2250 MHz, 44 %, 62.29 W, 63, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:34.442, 2250 MHz, 46 %, 61.03 W, 63, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:37.442, 2250 MHz, 34 %, 56.03 W, 63, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:40.443, 2175 MHz, 29 %, 59.67 W, 63, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:43.443, 2250 MHz, 32 %, 61.04 W, 64, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:46.443, 2250 MHz, 26 %, 61.71 W, 64, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:49.444, 2250 MHz, 26 %, 58.43 W, 64, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:52.444, 2250 MHz, 50 %, 59.79 W, 64, Not Active, Not Active, Not Active, Not Active
2026/08/02 01:03:55.444, 1005 MHz, 31 %, 38.14 W, 62, Active, Not Active, Not Active, Not Active
2026/08/02 01:03:58.445, 915 MHz, 39 %, 29.70 W, 62, Active, Not Active, Not Active, Not Active
