[ktest] adapter: {"webgpu":true,"adapter":"nvidia lovelace"}
kernel	esito	max|Δ|	maxRel	note
gemv-q4_0-896x896-bias	PASS	2.86e-6	1.29e-3	
gemv-q4_0-896x128-bias	PASS	2.86e-6	2.37e-5	
gemv-q4_0-896x4864	PASS	2.09e-6	9.51e-5	
gemv-q4_0-4864x896	PASS	5.72e-6	2.25e-4	
gemv-q8_0-896x2048	PASS	4.96e-5	3.19e-4	
gemv-q4_1-1536x2048	PASS	7.63e-6	5.13e-7	
gemv-q4_1-10240x256	PASS	2.29e-5	9.34e-6	
gemv-q4_K-2048x512	PASS	2.21e-4	5.58e-5	
gemv-q4_K-512x2048	PASS	1.22e-4	2.33e-5	
gemv-q5_K-2048x1536	PASS	7.63e-4	2.25e-4	
gemv-q6_K-1536x2048	PASS	9.77e-4	1.35e-5	
gemv-q6_K-2048x1024	PASS	1.22e-3	5.39e-6	
gemv-f32-router	PASS	3.81e-6	1.58e-6	
gemv-q4_0-accum	PASS	2.86e-6	3.88e-4	
gemv-q4_1-accum	PASS	5.72e-6	3.67e-3	
moe-ffn-block-downq4_0	PASS	2.56e+3	7.21e-5	experts=[30,28,33,11] Σw=1.800000
moe-ffn-block-downq4_1	PASS	7.68e+2	2.28e-4	experts=[33,3,15,58] Σw=1.800000
prefill-moe-batched-vs-decode-chain	PASS	0.00e+0	0.00e+0	BIT-IDENTICO: M=4, unione 6 expert su 16 selezioni (molteplicita' 2.67)
shexp-batch-vs-per-row	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe (stesso modulo, indicizzazione di riga)
dense-batch-gemv-q4_0	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-gemv-q4_1	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-gemv-q8_0	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-gemv-f32	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-gemv-q8heads	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-rmsnorm	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-rope-mla	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-kvappend	PASS	0.00e+0	0.00e+0	BIT-IDENTICA l'intera cache (righe 7..9 scritte, il resto intatto)
dense-batch-strided-copy	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-rope-neox	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-siluMul	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-sigmoidMul	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-addInPlace	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-deltanet-gates	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-batch-attn-chunk	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-rows-deltanet-recurrence	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-flat-rmsnorm-per-head	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
dense-flat-stridedcopy	PASS	0.00e+0	0.00e+0	BIT-IDENTICO su 3 righe
router-top4-gpu-vs-cpu	PASS	7.38e-8	1.64e-7	draws=64 setFlips(sep>=0.00001)=0 orderFlips=0 sottoSoglia=0 minSepRetto=3.43e-5
q35-router-resolve-gpu-vs-cpu	PASS	2.76e-8	2.32e-7	softmax 256x8, draws=64 setFlips(sep>=0.00001)=0 orderFlips=0 sottoSoglia=0 resolveErrati=0 minSepRetto=1.92e-5
router-top4-near-tie	PASS	0.00e+0	0.00e+0	bases=8 tenuto fino a eps=1e-6 primo flip a eps=1e-7 (gate dichiarato 1e-5)
router-resolve-slottable	PASS	4.40e-8	9.76e-8	residenti e54→s0,e41→s1,e61→s2, top4 CPU {54,7,41,40}, wMaxRel=9.76e-8, MISS post-eviction 4/4
pair-gemv-silu-fast-exp	PASS	9.16e-5	1.61e-5	
gemv-q4_0-accum-fast	PASS	2.38e-6	1.52e-4	
gemv-q4_1-accum-fast	PASS	3.81e-6	1.75e-4	
expert-arena-vs-slotrange-q4_0	PASS	0.00e+0	0.00e+0	BIT-A-BIT identico su 1536 + 2048 f32 (slot 5 = buffer 1 offset 2, selIdx 3)
expert-arena-miss-q4_0	PASS	0.00e+0	0.00e+0	slot 0xffffffff (w=0.5, flags=1): gate/up e down non toccano l'uscita, bit per bit
expert-arena-vs-slotrange-q4_1	PASS	0.00e+0	0.00e+0	BIT-A-BIT identico su 1536 + 2048 f32 (slot 5 = buffer 1 offset 2, selIdx 3)
expert-arena-miss-q4_1	PASS	0.00e+0	0.00e+0	slot 0xffffffff (w=0.5, flags=1): gate/up e down non toccano l'uscita, bit per bit
pair-gemv-silu-q5k-fast-shexp	PASS	3.00e+0	5.87e-4	
gemv-q6k-fast-1536x2048	PASS	1.22e-3	7.98e-5	
gemv-q6k-fast-2048x1024	PASS	9.77e-4	1.82e-5	
deltanet-conv-256	PASS	5.96e-8	5.86e-5	out+shift stato (shift esatto: true)
deltanet-conv-8192	PASS	1.19e-7	1.55e-4	out+shift stato (shift esatto: true)
deltanet-gates	PASS	1.91e-6	6.86e-4	
deltanet-core-hd16	PASS	4.77e-7	1.36e-4	out + stato post-update
deltanet-core-hd128	PASS	1.31e-6	6.45e-3	out + stato post-update
deltanet-chain-T12	PASS	5.36e-7	1.07e-3	campione pinnato 12 token, stato persistente su GPU
rope-neox-partial-64of256	PASS	7.30e-7	4.28e-4	canali ≥64 invariati: true
sigmoid-mul	PASS	5.96e-8	2.32e-7	
q35-attn-linear-real-blk0	PASS	1.19e-7	1.60e-4	pesi reali 4B, T=3, L2rel=7.72e-7
q35-attn-full-real-blk3	PASS	7.15e-7	1.17e-3	pesi reali 4B, T=3, L2rel=2.07e-7
q35-mtp-head-real-blk32	PASS	4.77e-6	5.67e-4	pesi reali 4B-MTP, T=3, L2rel=2.67e-7
q35-mtp-draft-4b	PASS	NaN	NaN	accept-rate GPU 31/62 = 50.0% (cpuref f64 stessa finestra: 50,0%) — 63 draft a 4.93 ms (load 10.0s, run 2.8s)
